Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:28:17,2023-04-07 03:28:17,0.129s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:28:17,2023-04-07 03:28:20,2.350s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:28:20,2023-04-07 03:28:23,3.317s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:28:23,2023-04-07 03:28:26,2.733s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:28:26,2023-04-07 03:28:26,0.315s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:28:26,2023-04-07 03:28:26,0.335s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:28:26,2023-04-07 03:28:28,2.007s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:28:28,2023-04-07 03:28:29,0.316s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:28:29,2023-04-07 03:28:29,0.627s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:28:31,2023-04-07 03:28:31,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-05,Chrome 112.0.0.0,Login dengan email yang terdaftar dan kata sandi yang salah,,2023-04-07 03:28:31,2023-04-07 03:28:46,14.852s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:28:31,2023-04-07 03:28:31,0.001s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:28:32,2023-04-07 03:28:33,1.140s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:28:33,2023-04-07 03:28:33,0.128s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:28:33,2023-04-07 03:28:35,2.284s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:28:35,2023-04-07 03:28:36,1.245s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), Valid_email)",Chrome 112.0.0.0,,,2023-04-07 03:28:36,2023-04-07 03:28:40,3.639s,PASSED
